Player No.,Team,Game,FGM,FGA,3PTM,3PA,FTM,FTA,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,PF,FG_PCT,3P%,FT%,Efficiency
1,Beige,White vs Beige,0,0,0,0,4,4,0,10,4,8,12,1,1,0,7,2,0.42,0.0,0.5,15
11,Beige,White vs Beige,0,0,0,0,5,5,0,17,3,4,7,3,4,0,3,1,0.45,0.25,0.6,27
15,Beige,White vs Beige,0,0,0,0,0,0,0,10,1,10,11,5,1,0,0,4,0.44,0.0,0.0,23
22,Beige,White vs Beige,0,0,0,0,0,0,0,4,3,5,8,1,0,0,1,2,0.28,0.0,0.0,10
14,Beige,White vs Beige,0,0,0,0,2,2,0,3,4,5,9,0,0,0,4,2,0.14,0.25,0.0,6
8,White,White vs Beige,0,0,0,0,4,4,0,5,0,3,3,2,1,0,1,2,0.15,0.0,0.25,8
15,White,White vs Beige,0,0,0,0,2,2,0,5,1,3,4,1,3,0,4,0,0.4,0.0,0.5,9
1,White,White vs Beige,0,0,0,0,1,1,0,12,3,3,6,1,4,0,2,0,0.38,0.0,0.0,21
11,White,White vs Beige,0,0,0,0,2,2,0,2,6,3,9,0,1,0,2,3,0.2,0.0,0.0,7
10,White,White vs Beige,0,0,0,0,6,6,0,10,4,3,7,0,1,0,1,4,0.5,0.0,0.0,13
0,White,White vs Beige,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0.33,0.0,0.0,4
20,Blue,Blue vs White,0,0,0,0,0,0,0,4,4,4,8,1,3,0,3,2,0.4,0.0,0.0,11
30,Blue,Blue vs White,0,0,0,0,0,0,0,6,2,6,8,0,0,2,3,3,0.5,0.0,0.0,10
31,Blue,Blue vs White,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0
1,Blue,Blue vs White,0,0,0,0,2,2,0,1,1,1,2,0,1,0,2,4,0.0,0.0,0.5,-2
4,Blue,Blue vs White,0,0,0,0,4,4,0,6,0,2,3,1,0,0,0,2,0.2,0.25,0.75,8
10,Blue,Blue vs White,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,5,1.0,0.0,0.0,-3
16,Blue,Blue vs White,0,0,0,0,0,0,0,9,0,2,2,0,0,0,6,3,0.25,0.14,0.0,2
10,White,Blue vs White,0,0,0,0,0,0,0,2,2,5,7,0,3,0,1,1,0.17,0.0,0.0,10
8,White,Blue vs White,0,0,0,0,6,6,0,9,0,2,2,0,0,0,0,2,0.6,0.0,0.67,9
11,White,Blue vs White,0,0,0,0,5,5,0,6,1,3,4,1,2,0,1,0,0.29,0.0,0.4,12
111,White,Blue vs White,0,0,0,0,4,4,0,14,0,1,1,0,2,0,1,0,0.5,0.5,1.0,16
9,White,Blue vs White,0,0,0,0,4,4,0,4,3,2,5,0,1,0,1,2,0.33,0.0,0.0,7
0,White,Blue vs White,0,0,0,0,2,2,0,2,2,3,5,0,0,0,0,2,0.0,0.0,1.0,5
15,White,Blue vs White,0,0,0,0,4,4,0,2,2,0,0,0,1,0,2,4,0.25,0.0,0.0,-3
7,Black,Black vs White,0,0,0,0,1,1,0,18,0,6,6,0,1,0,1,1,0.4,0.67,0.0,23
25,Black,Black vs White,0,0,0,0,4,4,0,11,4,5,9,1,2,0,3,2,0.5,0.25,0.5,18
