Player No.,Team,Game,FGM,FGA,3PTM,3PA,FTM,FTA,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,PF,FG_PCT,3P%,FT%,Efficiency
6,Black,White vs Black,0,0,0,0,2,2,0,5,1,1,2,1,2,0,3,3,0.29,0.0,0.5,4
7,Black,White vs Black,0,0,0,0,0,0,0,6,4,3,7,0,0,1,3,0,0.6,0.0,0.0,11
12,Black,White vs Black,0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,2,0.0,0.0,0.0,-1
22,Black,White vs Black,0,0,0,0,4,4,0,5,1,3,4,2,1,0,4,2,0.33,0.0,0.25,6
1,Black,White vs Black,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.75,0.5,0.0,7
10,Black,White vs Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,-2
18,Black,White vs Black,0,0,0,0,8,8,0,17,1,4,5,0,2,0,3,0,0.63,0.0,0.5,21
4,Black,White vs Black,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,1,0.0,0.0,0.0,3
8,White,White vs Black,0,0,0,0,0,0,0,13,0,4,4,2,2,0,2,1,0.55,0.33,0.0,18
20,White,White vs Black,0,0,0,0,2,2,0,6,2,2,4,0,2,0,3,0,0.38,0.0,0.0,9
9,White,White vs Black,0,0,0,0,2,2,0,7,3,5,8,3,4,0,1,2,0.6,0.0,0.5,19
34,White,White vs Black,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,1,0.0,0.0,0.0,1
22,White,White vs Black,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.0,0.0,0.0,1
2,White,White vs Black,0,0,0,0,4,4,0,8,2,2,4,0,4,0,1,0,0.5,0.0,0.5,15
25,White,White vs Black,0,0,0,0,1,1,0,18,1,0,1,0,2,0,1,2,0.6,0.0,0.0,18
23,Purple,Purple vs U14,0,0,0,0,2,2,0,2,0,7,7,0,1,0,6,3,0.11,0.0,0.0,1
11,Purple,Purple vs U14,0,0,0,0,8,8,0,5,1,4,5,1,3,0,3,3,0.13,0.0,0.38,8
77,Purple,Purple vs U14,0,0,0,0,0,0,0,0,0,2,3,0,1,0,2,4,0.0,0.0,0.0,-2
6,Purple,Purple vs U14,0,0,0,0,0,0,0,2,0,2,3,0,1,0,9,0,0.2,0.0,0.0,-3
67,Purple,Purple vs U14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,-1
2,Purple,Purple vs U14,0,0,0,0,0,0,0,2,2,3,5,0,0,1,1,1,0.17,0.0,0.0,6
14,Purple,Purple vs U14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0.0,0.0,0.0,-1
22,Purple,Purple vs U14,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,2,0.0,0.0,0.0,1
2,U14,Purple vs U14,0,0,0,0,4,4,0,4,0,0,0,0,2,0,1,0,0.4,0.0,0.25,5
8,U14,Purple vs U14,0,0,0,0,0,0,0,4,2,7,9,0,2,0,1,0,0.5,0.0,0.0,14
6,U14,Purple vs U14,0,0,0,0,0,0,0,4,1,0,1,0,1,0,2,0,0.5,0.0,0.0,4
4,U14,Purple vs U14,0,0,0,0,4,4,0,1,2,0,2,1,1,0,3,2,0.0,0.0,0.0,0
3,U14,Purple vs U14,0,0,0,0,2,2,0,9,3,3,6,2,5,0,3,0,0.58,0.0,0.0,19
19,U14,Purple vs U14,0,0,0,0,4,4,0,1,0,4,4,0,1,0,3,0,0.0,0.0,0.25,3
29,U14,Purple vs U14,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0.5,0.0,0.0,3
7,U14,Purple vs U14,0,0,0,0,4,4,0,6,0,1,1,2,2,0,0,1,0.4,0.0,0.5,10
17,U14,Purple vs U14,0,0,0,0,0,0,0,4,4,1,5,0,0,0,1,2,0.33,0.0,0.0,6
12,U14,Purple vs U14,0,0,0,0,0,0,0,0,1,4,5,0,2,1,1,1,0.0,0.0,0.0,6
6,Black,Black vs Grey,0,0,0,0,2,2,0,8,2,3,5,1,0,0,2,1,0.43,0.5,0.5,11
7,Black,Black vs Grey,0,0,0,0,0,0,0,8,3,3,6,1,0,1,1,2,0.4,0.0,0.0,13
12,Black,Black vs Grey,0,0,0,0,0,0,0,2,3,0,4,0,1,0,1,0,0.33,0.0,0.0,6
22,Black,Black vs Grey,0,0,0,0,0,0,0,4,0,5,5,4,1,1,6,1,0.4,0.0,0.0,8
1,Black,Black vs Grey,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,1,0.0,0.0,0.5,1
18,Black,Black vs Grey,0,0,0,0,5,5,0,12,3,11,14,3,2,0,2,2,0.44,0.0,0.8,27
3,Black,Black vs Grey,0,0,0,0,0,0,0,8,6,2,8,1,1,0,4,3,0.36,0.0,0.0,11
4,Black,Black vs Grey,0,0,0,0,0,0,0,7,1,5,6,2,0,0,3,1,0.5,0.33,0.0,11
67,Grey,Black vs Grey,0,0,0,0,4,4,0,9,1,2,3,0,2,0,2,1,0.2,0.14,0.5,11
16,Grey,Black vs Grey,0,0,0,0,2,2,0,0,1,0,1,1,3,0,2,4,0.0,0.0,0.0,-1
4,Grey,Black vs Grey,0,0,0,0,1,1,0,6,1,1,2,0,2,0,2,0,0.43,0.0,0.0,8
20,Grey,Black vs Grey,0,0,0,0,3,3,0,6,4,0,4,0,0,0,0,3,0.4,0.0,0.33,7
1,Grey,Black vs Grey,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0.0,0.0,0.0,0
21,Grey,Black vs Grey,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0.0,0.0,0.0,1
7,Grey,Black vs Grey,0,0,0,0,2,2,0,7,0,0,0,0,0,0,0,1,0.25,0.5,1.0,6
8,Grey,Black vs Grey,0,0,0,0,4,4,0,4,0,1,1,0,0,0,1,0,0.33,0.0,0.5,4
0,Grey,Black vs Grey,0,0,0,0,1,1,0,2,3,4,7,0,2,0,2,1,0.14,0.0,0.0,8
3,Purple,Purple vs White,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0.0,0.0,0.0,-3
23,Purple,Purple vs White,0,0,0,0,2,2,0,0,3,0,0,1,3,0,1,0,0.0,0.0,0.0,3
6,Purple,Purple vs White,0,0,0,0,4,4,0,2,1,2,0,0,0,0,1,0,0.0,0.0,0.0,1
77,Purple,Purple vs White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-1
22,Purple,Purple vs White,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0.0,0.0,0.0,3
67,Purple,Purple vs White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,-1
2,Purple,Purple vs White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,-4
0,Purple,Purple vs White,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0.0,0.0,0.0,-2
8,White,Purple vs White,0,0,0,0,0,0,0,12,1,1,0,1,0,1,1,0,0.0,0.0,0.0,13
20,White,Purple vs White,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0.0,0.0,0.0,7
9,White,Purple vs White,0,0,0,0,0,0,0,8,2,3,0,2,2,0,0,0,0.0,0.0,0.0,12
34,White,Purple vs White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,-1
12,White,Purple vs White,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0
22,White,Purple vs White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0
2,White,Purple vs White,0,0,0,0,1,1,0,5,2,1,0,1,0,0,2,2,0.0,0.0,0.0,2
25,White,Purple vs White,0,0,0,0,0,0,0,4,0,3,0,3,2,0,2,0,0.0,0.0,0.0,7
0,White,Purple vs White,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0.0,0.0,0.0,-1
