Player No.,Team,Player_Team_Label,Total_Games_Played,Total_MIN_Played,Avg_PTS_Per_Min,Avg_REB_Per_Min,Avg_AST_Per_Min,Avg_STL_Per_Min,Avg_BLK_Per_Min,Avg_AST_TOV_Ratio,Avg_TS_Percentage,Avg_REB_Percentage,Avg_Efficiency,Avg_WS_Simplified,Avg_VORP_Simplified
0,Grey,Player 0 (Grey),1,0,0.0,0.0,0.0,0.0,0.0,0.0,227.27272727272728,10.144927536231885,8.0,1.9566534914361002,0.09783267457180501
0,Purple,Player 0 (Purple),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
0,White,Player 0 (White),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
1,Black,Player 1 (Black),2,0,0.0,0.0,0.0,0.0,0.0,0.0,28.40909090909091,0.0,4.0,0.5420454545454546,0.027102272727272732
1,Grey,Player 1 (Grey),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4492753623188406,0.0,0.002898550724637681,0.00014492753623188405
10,Black,Player 10 (Black),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
11,Purple,Player 11 (Purple),1,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,71.02272727272727,8.333333333333332,8.0,1.1717803030303031,0.058589015151515156
12,Black,Player 12 (Black),2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.090040086339808,2.5,0.3057971014492754,0.01528985507246377
12,U14,Player 12 (U14),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,6.0,0.6166666666666667,0.030833333333333338
12,White,Player 12 (White),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Purple,Player 14 (Purple),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
16,Grey,Player 16 (Grey),1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.4492753623188406,-1.0,0.0,0.0
17,U14,Player 17 (U14),1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,6.0,0.6166666666666667,0.030833333333333338
